Company,Total Funding,Funding Rounds,Founders
DisruptZero3,null,null,['Joa l']
Ditto Insurance,null,null,"['Rohan Nowal', 'Tanya Chaturvedi']"
Do All Work,null,null,['Abhishek Garg']
DoctorPlan,null,null,"['Dr. Shruti Mathur', 'Rohit Agarwal']"
Domi Labs,null,null,"['august w', 'Pavel Metelitsyn']"
Dosajh Industries,null,null,['Archit Dosajh']
DoseSpot,null,null,['Ken Tubman']
Dotnitron Technologies,null,null,['Aditya Gupta']
dox2U,null,null,"['Sumeet Goel', 'Raaghav Goel']"
Draup,null,null,"['Vamsee Tirukkala', 'Zinnov Management Consulting']"
DrCode.ai,null,null,['Savinay P']
Dreamfoot,null,null,['Shweta Upadhyay']
Dreamwave AI,null,null,['Dreamwave AI']
dresslife,null,null,['Julian Hensolt']
Drona Pay,null,null,['Satish Kashyap']
Dsqr Studio,null,null,"['Zalak Patel', 'Kanu Thakor']"
Dynasoft applied system,null,null,['Vaishanavi Raskar']
EaseOps,null,null,['Pramod Kumar']
EaseSeat,null,null,['Kailash Chowdhury']
Easeworkai.com,null,null,['Ratha Natarajan']
EasyCapital,null,null,['Zakir Khan']
Eccentric Engine,null,null,"['Atul Sharma', 'Prem Sahni', 'Sadaf Khan']"
Eclat Engineering,null,null,['Shyam Khakhar']
Ecoyaan,null,null,['Sarwan Singh']
EdHusk,null,null,['Vivek Kumar']
EdMyst,null,null,['Bhuwan Mahajan']
EdSols Innovations,null,null,['Arul Dhamodaran']
Eight.money,null,null,['Ajay Sharma']
Ekahal,null,null,['Ekahal - Effective Efficiency']
Elfina Health,null,null,['Tanvi Agrawal']
Elgebra,null,null,"['Priyanka Saini', 'yogesh pratap Singh']"
eLitmus.com,null,null,"['Aseem Marwaha', 'Shireesh J']"
Ellemora,null,null,['Ellemora Fashions']
Ellty,null,null,['Iuliia Taskina']
Eloelo,null,null,"['Saurabh Pandey', 'Akshay Dubey']"
Embarque,null,null,['Julian Canlas']
Emedgene,null,null,['Einat Metzer']
Emissary Technologies,null,null,['Tanmay Chopra']
empirical.run,null,null,['Arush Sharma']
Empxtrack,null,null,"['Gen. Basant Bhatia (Retd)', 'Tushar Bhatia']"
Endowus,null,null,"['Nithya R', 'Clarissa Wang', 'Zhuoran Li']"
Energy365.ai,null,null,['V V Vijayan']
Enpass Technologies,null,null,['Sanjana Roy']
Entrupy,null,null,"['Lakshminarayanan Subramanian', 'Ashlesh Sharma', 'Vidyuth Srinivasan']"
Envirya Projects,null,null,['Kanishk Ghosh']
Envsage,null,null,['shalini menon']
Eonverse AI,null,null,['Shardul Nayak']
epicred.in,null,null,['ganit Kumar']
EQUITRAX,null,null,['Anirban BERA']
EricHost,null,null,['Mahima Singh']
Essenvia,null,null,['Basant Sahoo']
essenZvita Life Sciences,null,null,"['Akashay Jamdar', 'Yogesh Vyas']"
Estuate,null,null,"['Priyesh Venkatesan', 'Naga Jyothi P', 'Rohit \xadSingh']"
Etta Global Partners,null,null,"['Meenakshi Jaryal', 'Meenakshi Jaryal']"
Everincodeh Technology,null,null,['Lalit kumar']
Everstage,null,null,"['Vivek Suriyamoorthy', 'Siva Rajamani']"
Everwell Health Solutions,null,null,['Andrew Cross']
EveryDayNeed,null,null,['Ankit Kumar']
EVOLANGO,null,null,['Nils Mischo']
Evolvq,null,null,['Info evolvq']
Exam Papers Plus,null,null,"['Daniel Frazer', 'Viraj Soni']"
Excellent Corporate Services,null,null,['Vigneshwar Giri']
Experience.com,null,null,['Phuc Truong']
Express,null,null,['Tristan T']
ExtendedGT,null,null,['Hebin Jacob']
Extenteam,null,null,"['Joy Anne Suerte Felipe - Mariano', 'Anne Nicole Benavidez', 'Jim Tolentino']"
Ezeiatech Systems,null,null,"['Sachin Panday', 'Kunal Jain']"
F22 Labs,null,null,"['HariHaraSudhan KM', 'Murtuza Kutub']"
Facets.Cloud,null,null,"['Pravanjan Choudhury', 'Anshul Sao', 'Rohit']"
FactWise,null,null,['Harshveer Singh Krishnawat']
FastCodeAI,null,null,['Parth Basole']
Feature Ventures,null,null,"['Anup Dangaich', 'Gourav Roy']"
Fihub,null,null,['Matthias Teufel']
Financial Technology Partners,null,null,['Steve McLaughlin']
Fintricity,null,null,['Alpesh Doshi']
FireMon,null,null,"['Whitney Bright', 'Ki Chun', 'Dawid Kowalski']"
Fisheye Visuals,null,null,['Nikhil Gumidelli']
Fitcentive,null,null,['Ellis Osborn']
Floindex Ventures,null,null,"['Ashwini Ganamani', 'Vandit Maheshwari']"
Floo,null,null,['Andy Nguyen']
Fluid Analytics,null,null,['Kevin Weeks']
Fluidesigns,null,null,['Sahil Shaikh']
Fluxon,null,null,"['AJ Ross', 'Ena Zheng', 'Erad Fridman']"
Flying Dreams Consultant,null,null,['Kamaljeet Singh']
FlytBase,null,null,['Nitin Gupta']
FORMCEPT,null,null,"['Suresh Srinivasan', 'Anuj Kumar']"
Formi,null,null,['Blagica Jovanovska']
FormPilot,null,null,['yashwanth balanagu']
Fornax,null,null,"['Peter Nguyen', 'Wojciech Kryściński']"
Fotello,null,null,['Harman Walia']
Foundation AI,null,null,"['Venkatesh Pagidimarri', 'Victor Gebhardt']"
FourJunctions,null,null,['Ramanathan Muthappan']
FourthPointer Services,null,null,['Urvashi Yadav']
Fragment,null,null,"['Hrashikesh Hegde', 'Ghulam Murtaza']"
FreJun,null,null,['Bhargava Kalluri']
Frevolt Green Energy Technologies,null,null,['Sanket Sanjay Vyavahare']
Froiden,null,null,"['Rakesh Kumar', 'Ajay Kumar Chaudhary', 'Abhinav Saraswat']"
frover,null,null,['Shrey Kumar Singh']
Fstac,null,null,['Bhawna Dhiman']
Fueladream Online Ventures,null,null,"['Mili Srivastava', 'Vineeth Kumar']"
Fulfil,null,null,['Artus de Longuemar']
Future AGI,null,null,"['Salil Kolhe', 'Atharva Bhange', 'Charu Gupta']"
FutureBlink,null,null,"['Vivek Asole', 'Soumodeep Ganguly', 'HR FutureBlink']"
Futurize,null,null,['RHEA B SINGHLA']
Fyle,null,null,['Robert Lyttle']
Fynd,null,null,"['Thibaud David', 'Frédéric Cohen', 'Clément Chaudet']"
Fynocrat Technologies,null,null,"['HR Fynocrat', 'Muskan Arora', 'Abhijit Paul']"
Gadgets Reborn Fz,null,null,['Anshuman Saxena']
Gaian Solutions,null,null,"['Chandra Kotaru', 'Gaian Solutions']"
Gallabox,null,null,['Mango Leap']
Garnek Matrix Solutions,null,null,['Pulkit Jindal']
gener8tor,null,null,"['Jon Eckhardt', 'Dan Armbrust', 'Joel Abraham', 'Joe Kirgues', 'Joe Kirgues']"
genieX,null,null,['Donato Cerro']
Genrobotic Innovations,null,null,['Vimal Govind']
GenY Medium,null,null,"['Yashwant Kumar', 'Ravi Jain']"
GetAFixMD,null,null,['JAYAKRISHNAN V A']
Get Set Resumes,null,null,['Rajat Vashishta']
GGWP,null,null,['Kun Gao']
Ghour.io,null,null,"['Gaurav Mohile', 'Christopher Rivers', 'Ekberjan Derman']"
Giftingnation,null,null,"['Swetha Mothey', 'Srinivas Mothey']"
Gigafactor Solutions,null,null,['Rahul Aryan']
Ginger Media Group,null,null,"['Devleena Neogi', 'Kuldeep Pawar', 'Kuldeep Pawa']"
Gistr,null,null,['Arun Antony']
Gleam Innovations,null,null,['Hinal Prajapati']
Gleecus TechLabs,null,null,['Suprit Patra']
Global Business Reconnect,null,null,['Ashish Sharma']
GlobalFair,null,null,"['Joseph John', 'vaishnavi kadari', 'Pratiksha Yadav']"
Global Suntec Solutions Pvt Ltd,null,null,['Vaibhav Gainewar']
GlobalWebIndex,null,null,"['Dan Gurhey', 'Emma Burton', 'Joe Timson']"
Gluon Solutions Pvt Limited,null,null,"['Sandeep Suryavanshi', 'Suresh Ramasamy', 'Anuj Adhikary']"
GoDaddy,null,null,"['Nikita Agarwal', 'Shivani Sahraot', 'Sumedh Pohekar']"
gofurther,null,null,"['Carolina Stassis', 'Eleanor Harding', 'Antonio Ajewole', 'Andreas Savvides']"
gogrowth,null,null,['Gurmeet Oberoi']
Goken India,null,null,['Swapnil Gawade']
gostudyfree,null,null,['Mahapavit Anand']
GotoEcom,null,null,['Varun Walia']
GradRight,null,null,['Prasad Shinde']
Great Media Technologies,null,null,"['Sanjay Singh', 'Saif Khan Lodi', 'Mainak Banerjee']"
Green Avni Solutions,null,null,['Prakash Rapolu']
Greenbotz Platform,null,null,['Gowtham Murugesan']
GreetsU,null,null,['Manuj Sharma']
Grexa AI,null,null,"['Ashutosh Kumar', 'Narendra Agrawal', 'Ayush Varshney', 'Arpit Oswal']"
Grey chain,null,null,['Pratiksshya Pusty']
Grey Soul Coffee Roasters,null,null,['Umesh Bajaj']
Grootin,null,null,"['sumeet grootin', 'Shobit Kohli', 'Abhiraj Singh']"
Grovio AI,null,null,['Ameet Kumar']
GrowQuest,null,null,"['Rohan Desai', 'Anup Dives']"
Growth For Impact,null,null,['Kunth Jain']
Growth Nursery,null,null,['Karthik Sake']
GrowthSpree,null,null,['Ishan Manchanda']
GrowthSRC media,null,null,['GrowthSRC Media']
Growtomation,null,null,"['NIshant Gupta', 'Nishant Gupta']"
GTMDialogues,null,null,['Saurabh Lahoti']
Guestara,null,null,['Akshay Kumar']
Guidepoint,null,null,['Albert Sebag']
Guidewire Software,null,null,"['Mark Shaw', 'John Raguin']"
Gupshup Technology,null,null,['Vinay Narayanan']
GVM Technologies,null,null,"['Paras Gogia', 'Reena Uchadadia']"
